State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Uttar Pradesh,Varanasi,Varanasi,Garlic,Garlic,FAQ,06/07/2024,10875,11200,10950,25
Uttar Pradesh,Varanasi,Varanasi,Garlic,Garlic,FAQ,25/07/2024,11650,11850,11780,25
Uttar Pradesh,Varanasi,Varanasi,Garlic,Garlic,FAQ,28/07/2024,11500,11750,11600,25
Uttar Pradesh,Varanasi,Varanasi,Garlic,Garlic,FAQ,31/07/2024,11485,11650,11550,25
Uttar Pradesh,Varanasi,Varanasi,Barley (Jau),Dara,FAQ,03/07/2024,2220,2300,2260,29
Uttar Pradesh,Varanasi,Varanasi,Barley (Jau),Dara,FAQ,13/07/2024,2240,2315,2275,29
Uttar Pradesh,Varanasi,Varanasi,Barley (Jau),Dara,FAQ,23/07/2024,2240,2335,2270,29
Uttar Pradesh,Varanasi,Varanasi,Barley (Jau),Dara,FAQ,31/07/2024,2265,2335,2300,29
Uttar Pradesh,Varanasi,Varanasi,Black Gram (Urd Beans)(Whole),Black Gram (Whole),FAQ,18/07/2024,9040,9175,9100,8
Uttar Pradesh,Varanasi,Varanasi,Banana - Green,Banana - Green,FAQ,22/07/2024,1750,1900,1830,90
Uttar Pradesh,Varanasi,Varanasi,Banana - Green,Banana - Green,FAQ,27/07/2024,1750,1885,1820,90
Uttar Pradesh,Varanasi,Varanasi,Ginger(Green),Green Ginger,FAQ,03/07/2024,9185,9400,9300,103
Uttar Pradesh,Varanasi,Varanasi,Ginger(Green),Green Ginger,FAQ,11/07/2024,9725,9865,9790,103
Uttar Pradesh,Varanasi,Varanasi,Ginger(Green),Green Ginger,FAQ,19/07/2024,9340,9500,9420,103
Uttar Pradesh,Varanasi,Varanasi,Ginger(Green),Green Ginger,FAQ,24/07/2024,9250,9550,9400,103
Uttar Pradesh,Varanasi,Varanasi,Ginger(Green),Green Ginger,FAQ,26/07/2024,9200,9450,9300,103
Uttar Pradesh,Varanasi,Varanasi,Green Chilli,Green Chilly,FAQ,06/07/2024,4250,4390,4300,87
Uttar Pradesh,Varanasi,Varanasi,Green Chilli,Green Chilly,FAQ,12/07/2024,4450,4600,4500,87
Uttar Pradesh,Varanasi,Varanasi,Green Chilli,Green Chilly,FAQ,27/07/2024,3800,3920,3865,87
Uttar Pradesh,Varanasi,Varanasi,Bhindi(Ladies Finger),Bhindi,FAQ,03/07/2024,1745,1850,1800,85
Uttar Pradesh,Varanasi,Varanasi,Bhindi(Ladies Finger),Bhindi,FAQ,18/07/2024,2100,2195,2150,85
Uttar Pradesh,Varanasi,Varanasi,Bhindi(Ladies Finger),Bhindi,FAQ,19/07/2024,2140,2285,2200,85
Uttar Pradesh,Varanasi,Varanasi,Bhindi(Ladies Finger),Bhindi,FAQ,25/07/2024,1850,1970,1900,85
Uttar Pradesh,Varanasi,Varanasi,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,12/07/2024,10100,10290,10215,264
Uttar Pradesh,Varanasi,Varanasi,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,15/07/2024,10200,10350,10275,264
Uttar Pradesh,Varanasi,Varanasi,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,19/07/2024,10125,10275,10200,264
Uttar Pradesh,Varanasi,Varanasi,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,24/07/2024,10100,10350,10220,264
Uttar Pradesh,Varanasi,Varanasi,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,02/07/2024,10150,10290,10210,265
Uttar Pradesh,Varanasi,Varanasi,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,05/07/2024,10100,10290,10200,265
Uttar Pradesh,Varanasi,Varanasi,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,06/07/2024,10140,10300,10230,265
Uttar Pradesh,Varanasi,Varanasi,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,22/07/2024,10125,10290,10200,265
Uttar Pradesh,Varanasi,Varanasi,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,31/07/2024,10120,10225,10175,265
Uttar Pradesh,Varanasi,Varanasi,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,01/07/2024,14800,15150,14900,260
Uttar Pradesh,Varanasi,Varanasi,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,02/07/2024,14825,15200,14950,260
Uttar Pradesh,Varanasi,Varanasi,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,05/07/2024,14850,15350,15000,260
Uttar Pradesh,Varanasi,Varanasi,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,19/07/2024,14900,15200,15130,260
Uttar Pradesh,Varanasi,Varanasi,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,20/07/2024,14950,15300,15150,260
Uttar Pradesh,Varanasi,Varanasi,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,22/07/2024,15000,15300,15170,260
Uttar Pradesh,Varanasi,Varanasi,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,04/07/2024,7540,7700,7625,263
Uttar Pradesh,Varanasi,Varanasi,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,08/07/2024,7540,7685,7570,263
Uttar Pradesh,Varanasi,Varanasi,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,15/07/2024,7640,7850,7700,263
Uttar Pradesh,Varanasi,Varanasi,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,22/07/2024,7650,7825,7750,263
Uttar Pradesh,Varanasi,Varanasi,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,23/07/2024,7715,7865,7775,263
Uttar Pradesh,Varanasi,Varanasi,Bitter gourd,Bitter Gourd,FAQ,12/07/2024,2140,2285,2200,81
Uttar Pradesh,Varanasi,Varanasi,Bitter gourd,Bitter Gourd,FAQ,18/07/2024,2175,2250,2215,81
Uttar Pradesh,Varanasi,Varanasi,Bitter gourd,Bitter Gourd,FAQ,24/07/2024,2340,2465,2400,81
Uttar Pradesh,Varanasi,Varanasi,Bitter gourd,Bitter Gourd,FAQ,31/07/2024,2270,2385,2350,81
Uttar Pradesh,Varanasi,Varanasi,Masur Dal,Masur Dal,FAQ,08/07/2024,8050,8200,8125,259
Uttar Pradesh,Varanasi,Varanasi,Masur Dal,Masur Dal,FAQ,10/07/2024,8050,8250,8130,259
Uttar Pradesh,Varanasi,Varanasi,Masur Dal,Masur Dal,FAQ,19/07/2024,8045,8250,8180,259
Uttar Pradesh,Varanasi,Varanasi,Masur Dal,Masur Dal,FAQ,29/07/2024,8075,8200,8150,259
Uttar Pradesh,Varanasi,Varanasi,Masur Dal,Masur Dal,FAQ,30/07/2024,8125,8250,8175,259
Uttar Pradesh,Varanasi,Varanasi,Raddish,Raddish,FAQ,03/07/2024,2025,2150,2070,161
Uttar Pradesh,Varanasi,Varanasi,Raddish,Raddish,FAQ,17/07/2024,2085,2175,2130,161
Uttar Pradesh,Varanasi,Varanasi,Raddish,Raddish,FAQ,18/07/2024,2065,2185,2125,161
Uttar Pradesh,Varanasi,Varanasi,Capsicum,Capsicum,FAQ,21/07/2024,4670,4850,4750,164
Uttar Pradesh,Varanasi,Varanasi,Capsicum,Capsicum,FAQ,26/07/2024,4900,5150,5000,164
Uttar Pradesh,Varanasi,Varanasi,Black Gram (Urd Beans)(Whole),Black Gram (Whole),FAQ,10/07/2024,9035,9185,9100,8
Uttar Pradesh,Varanasi,Varanasi,Black Gram (Urd Beans)(Whole),Black Gram (Whole),FAQ,15/07/2024,9040,9200,9110,8
Uttar Pradesh,Varanasi,Varanasi,Rice,III,FAQ,03/07/2024,2940,3075,3000,3
Uttar Pradesh,Varanasi,Varanasi,Rice,III,FAQ,04/07/2024,2965,3045,3000,3
Uttar Pradesh,Varanasi,Varanasi,Rice,III,FAQ,10/07/2024,3010,3100,3045,3
Uttar Pradesh,Varanasi,Varanasi,Rice,III,FAQ,20/07/2024,3015,3100,3065,3
Uttar Pradesh,Varanasi,Varanasi,Rice,III,FAQ,24/07/2024,3040,3125,3085,3
Uttar Pradesh,Varanasi,Varanasi,Rice,III,FAQ,25/07/2024,3050,3145,3085,3
Uttar Pradesh,Varanasi,Varanasi,Mustard,Sarson(Black),FAQ,03/07/2024,5550,5725,5650,12
Uttar Pradesh,Varanasi,Varanasi,Mustard,Sarson(Black),FAQ,08/07/2024,5600,5725,5650,12
Uttar Pradesh,Varanasi,Varanasi,Mustard,Sarson(Black),FAQ,10/07/2024,5620,5745,5660,12
Uttar Pradesh,Varanasi,Varanasi,Mustard,Sarson(Black),FAQ,23/07/2024,5550,5700,5630,12
Uttar Pradesh,Varanasi,Varanasi,Mustard,Sarson(Black),FAQ,31/07/2024,5600,5700,5650,12
Uttar Pradesh,Varanasi,Varanasi,Rice,III,FAQ,06/07/2024,3000,3075,3035,3
Uttar Pradesh,Varanasi,Varanasi,Black Gram (Urd Beans)(Whole),Black Gram (Whole),FAQ,23/07/2024,9050,9215,9125,8
Uttar Pradesh,Varanasi,Varanasi,Bengal Gram(Gram)(Whole),Desi (Whole),FAQ,06/07/2024,6730,6885,6775,6
Uttar Pradesh,Varanasi,Varanasi,Bengal Gram(Gram)(Whole),Desi (Whole),FAQ,09/07/2024,6740,6885,6800,6
Uttar Pradesh,Varanasi,Varanasi,Bengal Gram(Gram)(Whole),Desi (Whole),FAQ,12/07/2024,6750,6925,6825,6
Uttar Pradesh,Varanasi,Varanasi,Bengal Gram(Gram)(Whole),Desi (Whole),FAQ,16/07/2024,6780,6925,6850,6
Uttar Pradesh,Varanasi,Varanasi,Bengal Gram(Gram)(Whole),Desi (Whole),FAQ,19/07/2024,6815,6950,6875,6
Uttar Pradesh,Varanasi,Varanasi,Bengal Gram(Gram)(Whole),Desi (Whole),FAQ,24/07/2024,6800,6925,6850,6
Uttar Pradesh,Varanasi,Varanasi,Bengal Gram(Gram)(Whole),Desi (Whole),FAQ,30/07/2024,6850,6945,6900,6
Uttar Pradesh,Varanasi,Varanasi,Lentil (Masur)(Whole),Masoor Gola,FAQ,10/07/2024,6740,6850,6795,63
Uttar Pradesh,Varanasi,Varanasi,Lentil (Masur)(Whole),Masoor Gola,FAQ,12/07/2024,6750,6900,6815,63
Uttar Pradesh,Varanasi,Varanasi,Lentil (Masur)(Whole),Masoor Gola,FAQ,16/07/2024,6750,6935,6830,63
Uttar Pradesh,Varanasi,Varanasi,Lentil (Masur)(Whole),Masoor Gola,FAQ,29/07/2024,6800,6925,6865,63
Uttar Pradesh,Varanasi,Varanasi,Linseed,Linseed,FAQ,02/07/2024,5150,5320,5275,67
Uttar Pradesh,Varanasi,Varanasi,Linseed,Linseed,FAQ,08/07/2024,5425,5525,5475,67
Uttar Pradesh,Varanasi,Varanasi,Linseed,Linseed,FAQ,13/07/2024,5520,5675,5580,67
Uttar Pradesh,Varanasi,Varanasi,Linseed,Linseed,FAQ,15/07/2024,5540,5650,5580,67
Uttar Pradesh,Varanasi,Varanasi,Linseed,Linseed,FAQ,16/07/2024,5515,5660,5580,67
Uttar Pradesh,Varanasi,Varanasi,Linseed,Linseed,FAQ,23/07/2024,5680,5825,5750,67
Uttar Pradesh,Varanasi,Varanasi,Jack Fruit,Jack Fruit,Medium,08/07/2024,1900,1975,1950,182
Uttar Pradesh,Varanasi,Varanasi,Jack Fruit,Jack Fruit,Medium,15/07/2024,2050,2175,2100,182
Uttar Pradesh,Varanasi,Varanasi,Jack Fruit,Jack Fruit,Medium,19/07/2024,2150,2235,2200,182
Uttar Pradesh,Varanasi,Varanasi,Jack Fruit,Jack Fruit,Medium,22/07/2024,2170,2265,2225,182
Uttar Pradesh,Varanasi,Varanasi,Jack Fruit,Jack Fruit,Medium,25/07/2024,2150,2345,2250,182
Uttar Pradesh,Varanasi,Varanasi,Spinach,Spinach,FAQ,15/07/2024,1510,1600,1535,342
Uttar Pradesh,Varanasi,Varanasi,Spinach,Spinach,FAQ,25/07/2024,1480,1575,1525,342
Uttar Pradesh,Varanasi,Varanasi,Cucumbar(Kheera),Cucumbar,FAQ,08/07/2024,1800,1885,1850,159
Uttar Pradesh,Varanasi,Varanasi,Cucumbar(Kheera),Cucumbar,FAQ,11/07/2024,1840,1945,1870,159
Uttar Pradesh,Varanasi,Varanasi,Cucumbar(Kheera),Cucumbar,FAQ,19/07/2024,2000,2075,2050,159
Uttar Pradesh,Varanasi,Varanasi,Cucumbar(Kheera),Cucumbar,FAQ,21/07/2024,1950,2065,2025,159
Uttar Pradesh,Varanasi,Varanasi,Cucumbar(Kheera),Cucumbar,FAQ,26/07/2024,1800,1890,1850,159
Uttar Pradesh,Varanasi,Varanasi,Cucumbar(Kheera),Cucumbar,FAQ,27/07/2024,1745,1850,1800,159
Uttar Pradesh,Varanasi,Varanasi,Wheat,Dara,FAQ,04/07/2024,2370,2465,2420,1
Uttar Pradesh,Varanasi,Varanasi,Wheat,Dara,FAQ,17/07/2024,2400,2500,2435,1
Uttar Pradesh,Varanasi,Varanasi,Wheat,Dara,FAQ,20/07/2024,2415,2500,2450,1
Uttar Pradesh,Varanasi,Varanasi,Wheat,Dara,FAQ,24/07/2024,2400,2515,2475,1
Uttar Pradesh,Varanasi,Varanasi,Wheat,Dara,FAQ,25/07/2024,2425,2530,2470,1
